episode,episode_mean_reward,episode_total_reward
485,-2.1,-16.8
486,-2.1,-16.8
487,-2.1,-16.8
488,-3.1000000000000005,-24.800000000000004
489,-2.1,-16.8
490,-2.1,-16.8
491,-2.1,-16.8
492,-2.1,-16.8
493,-2.1,-16.8
494,-3.1000000000000005,-24.800000000000004
495,-2.1,-16.8
496,2.2666666666666666,6.8
497,-2.1,-16.8
498,-2.1,-16.8
499,-2.1,-16.8
500,-1.7249999999999999,-13.799999999999999
501,-3.1000000000000005,-24.800000000000004
502,5.0,5.0
503,-2.1,-16.8
504,-3.1000000000000005,-24.800000000000004
505,-2.1,-16.8
506,5.0,5.0
507,2.2666666666666666,6.8
508,-2.1,-16.8
509,-2.1,-16.8
510,5.0,5.0
511,2.2666666666666666,6.8
512,2.2666666666666666,6.8
513,2.2666666666666666,6.8
514,2.2666666666666666,6.8
515,-2.1,-16.8
516,-3.1000000000000005,-24.800000000000004
517,-2.1,-16.8
518,-2.1,-16.8
519,-2.1,-16.8
520,-2.1,-16.8
521,-2.1,-16.8
522,-0.9750000000000001,-7.800000000000001
523,-2.1,-16.8
524,5.0,5.0
525,-1.7249999999999999,-13.799999999999999
526,5.0,5.0
527,-0.9750000000000001,-7.800000000000001
528,-2.1,-16.8
529,-3.1000000000000005,-24.800000000000004
530,-1.7249999999999999,-13.799999999999999
531,-2.1,-16.8
532,-2.1,-16.8
533,5.0,5.0
534,-3.1000000000000005,-24.800000000000004
535,-3.1000000000000005,-24.800000000000004
536,-2.1,-16.8
537,5.0,5.0
538,-2.1,-16.8
539,-3.1000000000000005,-24.800000000000004
540,1.72,8.6
541,1.925,7.7
542,2.2666666666666666,6.8
543,-2.1,-16.8
544,-1.3499999999999999,-10.799999999999999
545,-2.1,-16.8
546,-2.1,-16.8
547,-3.1000000000000005,-24.800000000000004
548,-2.1,-16.8
549,-2.1,-16.8
550,5.0,5.0
551,-3.1000000000000005,-24.800000000000004
552,1.925,7.7
553,-2.1,-16.8
554,-2.1,-16.8
555,5.0,5.0
556,-3.1000000000000005,-24.800000000000004
557,-2.1,-16.8
558,-3.1000000000000005,-24.800000000000004
559,-2.1,-16.8
560,-2.1,-16.8
561,-2.1,-16.8
562,-2.1,-16.8
563,-2.1,-16.8
564,5.0,5.0
565,-2.1,-16.8
566,-2.1,-16.8
567,1.4125,11.3
568,-2.1,-16.8
569,-3.1000000000000005,-24.800000000000004
570,-2.1,-16.8
571,-2.1,-16.8
572,-1.3499999999999999,-10.799999999999999
573,2.2666666666666666,6.8
574,-1.7249999999999999,-13.799999999999999
575,-3.1000000000000005,-24.800000000000004
576,-2.1,-16.8
577,2.2666666666666666,6.8
578,5.0,5.0
579,2.2666666666666666,6.8
580,2.2666666666666666,6.8
581,-2.1,-16.8
582,-3.1000000000000005,-24.800000000000004
583,-2.1,-16.8
584,-1.7249999999999999,-13.799999999999999
585,-3.1000000000000005,-24.800000000000004
586,2.2666666666666666,6.8
587,-2.1,-16.8
588,-2.1,-16.8
589,5.0,5.0
590,-3.1000000000000005,-24.800000000000004
591,-2.1,-16.8
592,2.2666666666666666,6.8
593,-2.1,-16.8
594,1.5833333333333333,9.5
595,2.2666666666666666,6.8
596,5.0,5.0
597,-2.1,-16.8
598,-3.1000000000000005,-24.800000000000004
599,5.0,5.0
600,1.4857142857142858,10.4
601,-2.1,-16.8
602,-2.1,-16.8
603,-3.1000000000000005,-24.800000000000004
604,1.5833333333333333,9.5
605,-1.7249999999999999,-13.799999999999999
606,2.2666666666666666,6.8
607,-2.1,-16.8
608,-2.1,-16.8
609,5.0,5.0
610,5.0,5.0
611,-2.1,-16.8
612,2.2666666666666666,6.8
613,2.2666666666666666,6.8
614,-2.1,-16.8
615,2.2666666666666666,6.8
616,-2.1,-16.8
617,-2.1,-16.8
618,-3.1000000000000005,-24.800000000000004
619,1.5833333333333333,9.5
620,-1.3499999999999999,-10.799999999999999
621,2.2666666666666666,6.8
622,-2.1,-16.8
623,-3.1000000000000005,-24.800000000000004
624,-3.1000000000000005,-24.800000000000004
625,2.2666666666666666,6.8
626,-3.1000000000000005,-24.800000000000004
627,1.72,8.6
628,-3.1000000000000005,-24.800000000000004
629,-3.1000000000000005,-24.800000000000004
630,-2.1,-16.8
631,-0.9750000000000001,-7.800000000000001
632,-1.7249999999999999,-13.799999999999999
633,2.2666666666666666,6.8
634,1.4125,11.3
635,-2.1,-16.8
636,-1.7249999999999999,-13.799999999999999
637,-3.1000000000000005,-24.800000000000004
638,1.925,7.7
639,2.2666666666666666,6.8
640,-3.1000000000000005,-24.800000000000004
641,1.4857142857142858,10.4
642,-2.1,-16.8
